GasDate,FacilityName,FacilityId,FacilityType,Demand,Supply,TransferIn,TransferOut,HeldInStorage,CushionGasStorage,State,LocationName,LocationId,LastUpdated
2026/05/27,Adelaide Brighton,555091,BBLARGE,8.464,0.000,0.000,0.000,,,SA,Adelaide,550016,2026/06/22 13:00:01
2026/05/27,AGP,580010,PIPE,20.728,0.000,0.000,3.337,,,NT,Darwin,580001,2026/05/28 12:46:57
2026/05/27,AGP,580010,PIPE,9.276,30.292,52.797,38.032,,,NT,Regional - NT,590017,2026/05/28 12:46:57
2026/05/27,APLNG Pipeline,540093,PIPE,1400.639,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/06/01 12:06:44
2026/05/27,APLNG Pipeline,540093,PIPE,0.000,1285.186,435.096,310.160,,,QLD,Regional - QLD,590001,2026/06/01 12:06:44
2026/05/27,Arcadia,540101,PROD,0.000,95.410,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/04 09:30:35
2026/05/27,ATGP,640013,PIPE,0.000,42.769,0.000,42.769,,,QLD,Regional - QLD,590001,2026/05/28 12:01:17
2026/05/27,ATHENA,535014,PROD,0.000,16.538,0.000,0.000,,,VIC,Iona Hub,530016,2026/06/01 13:53:09
2026/05/27,Atlas,544261,PROD,0.000,42.769,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 12:01:41
2026/05/27,Atlas East Central Processing Facility,640008,PROD,0.000,32.260,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 10:56:05
2026/05/27,Atlas to Reedy Creek Pipeline,640007,PIPE,0.000,33.109,0.000,30.898,,,QLD,Regional - QLD,590001,2026/05/28 12:46:57
2026/05/27,Australia Pacific LNG,544273,LNGEXPORT,1400.638,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/05/28 13:45:25
2026/05/27,Australian Paper (Opal),535021,BBLARGE,10.961,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/06/19 11:00:13
2026/05/27,B1PL,540077,PIPE,11.618,41.511,0.000,28.224,,,QLD,Regional - QLD,590001,2026/05/28 11:00:55
2026/05/27,B2PL,540071,PIPE,8.508,53.965,2.565,46.702,,,QLD,Regional - QLD,590001,2026/05/28 10:17:38
2026/05/27,Bairnsdale Power Station,535020,BBGPG,2.111,0.000,0.000,0.000,,,VIC,Regional - VIC,590012,2026/05/28 11:00:53
2026/05/27,BCF,540047,COMPRESSOR,0.000,0.000,86.500,86.500,,,QLD,Regional - QLD,590001,2026/06/01 14:58:46
2026/05/27,Bell Bay CCGT,577016,BBGPG,0.000,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/05/29 12:01:00
2026/05/27,Bell Bay GGT,577014,BBGPG,0.012,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/05/29 12:01:00
2026/05/27,Bell Bay OCGT,577015,BBGPG,2.714,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/05/29 12:01:00
2026/05/27,Bellevue,540083,PROD,0.000,178.470,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/10 11:35:46
2026/05/27,BGP,580020,PIPE,0.288,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/05/28 12:46:57
2026/05/27,BlueScope,523204,BBLARGE,11.793,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/05/28 17:00:05
2026/05/27,Bolivar,555008,BBGPG,3.329,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/05/28 12:05:50
2026/05/27,Bomaderry Gas Pipeline,523202,PIPE,21.575,0.000,21.575,0.000,,,NSW,Regional - NSW,590011,2026/05/28 13:15:03
2026/05/27,BPP,530030,PIPE,2.390,13.010,0.000,10.614,,,VIC,Gippsland,590009,2026/06/19 11:00:13
2026/05/27,Braemar 2 Power Station,544085,BBGPG,8.508,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 10:17:38
2026/05/27,Braemar Power Station,544252,BBGPG,11.618,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 11:00:55
2026/05/27,BWP,540096,PIPE,0.000,0.000,0.000,114.955,,,QLD,Wallumbilla Hub,540032,2026/05/28 12:46:57
2026/05/27,BWP,540096,PIPE,0.000,116.549,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 12:46:57
2026/05/27,CGP,540059,PIPE,0.000,0.000,86.499,0.000,,,QLD,Ballera,540078,2026/05/28 12:46:57
2026/05/27,CGP,540059,PIPE,61.338,0.000,0.000,24.998,,,QLD,Regional - QLD,590001,2026/05/28 12:46:57
2026/05/27,Channel Island Power Station,580231,BBGPG,20.728,0.000,0.000,0.000,,,NT,Darwin,580001,2026/05/28 12:46:57
2026/05/27,Colongra,523120,BBGPG,0.000,0.000,0.000,0.000,,,NSW,Regional - NSW,590011,2026/05/28 12:00:05
2026/05/27,ColongraGP,520090,PIPE,0.000,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/05/28 12:00:05
2026/05/27,ColongraGP,520090,PIPE,0.000,0.000,0.000,0.000,,,NSW,Regional - NSW,590011,2026/05/28 12:00:05
2026/05/27,Combabula,540094,PROD,0.000,255.520,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/01 12:06:44
2026/05/27,Condabri Central,540080,PROD,0.000,145.392,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/01 12:06:44
2026/05/27,Condabri North,540090,PROD,0.000,147.562,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/01 12:06:44
2026/05/27,Condabri South,540086,PROD,0.000,152.647,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/01 12:06:44
2026/05/27,Condamine Power Station,544274,BBGPG,20.917,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/10 11:35:31
2026/05/27,CRWP,540098,PIPE,0.000,0.000,213.144,0.000,,,QLD,Wallumbilla Hub,540032,2026/06/04 09:28:08
2026/05/27,CRWP,540098,PIPE,0.000,231.213,36.170,482.957,,,QLD,Regional - QLD,590001,2026/06/04 09:28:08
2026/05/27,CWP,520054,PIPE,4.342,0.000,3.740,0.000,,,NSW,Regional - NSW,590011,2026/05/28 12:46:57
2026/05/27,Daandine,540050,PROD,0.000,53.965,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 10:17:42
2026/05/27,Dandenong LNG,530038,STOR,0.000,0.281,0.000,0.000,636.354,27.889,VIC,Melbourne,590008,2026/05/28 12:46:57
2026/05/27,DDP,540097,PIPE,0.000,0.000,0.000,97.550,,,QLD,Wallumbilla Hub,540032,2026/05/28 12:01:15
2026/05/27,DDP,540097,PIPE,51.165,519.375,63.165,435.096,,,QLD,Regional - QLD,590001,2026/05/28 12:01:15
2026/05/27,DDPS,544027,BBGPG,51.165,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 12:01:15
2026/05/27,Diamantina Power Station,544077,BBGPG,28.246,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 12:46:57
2026/05/27,Dry Creek Power Station,555026,BBGPG,0.000,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/05/28 11:31:05
2026/05/27,EGP,520047,PIPE,136.849,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/05/28 17:00:05
2026/05/27,EGP,520047,PIPE,9.901,0.000,0.000,0.000,,,NSW,Canberra,520009,2026/05/28 17:00:05
2026/05/27,EGP,520047,PIPE,0.000,232.757,0.000,57.832,,,VIC,Longford Hub,530015,2026/05/28 17:00:05
2026/05/27,EGP,520047,PIPE,68.024,0.000,0.000,21.575,,,NSW,Regional - NSW,590011,2026/05/28 17:00:05
2026/05/27,EGP,520047,PIPE,2.849,58.907,0.000,0.000,,,VIC,Regional - VIC,590012,2026/05/28 17:00:05
2026/05/27,EO4PL,540055,PIPE,0.000,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/10 11:35:46
2026/05/27,Eurombah Creek,540089,PROD,0.000,137.851,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/01 12:06:44
2026/05/27,Fairview,540070,PROD,0.000,291.466,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/04 09:30:35
2026/05/27,GLNG (Curtis Island),544276,LNGEXPORT,982.328,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/06/04 09:28:08
2026/05/27,GLNG Pipeline,540092,PIPE,982.328,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/06/04 09:28:08
2026/05/27,GLNG Pipeline,540092,PIPE,0.000,430.986,551.343,0.000,,,QLD,Regional - QLD,590001,2026/06/10 11:35:46
2026/05/27,Hallett,555029,BBGPG,4.923,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/05/28 11:31:05
2026/05/27,Hunter Power Station,523210,BBGPG,0.001,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/05/28 12:46:57
2026/05/27,ICF,530071,COMPRESSOR,0.000,0.000,0.000,0.000,,,VIC,Iona Hub,530016,2026/05/28 08:35:02
2026/05/27,Iona UGS,530042,STOR,0.000,106.753,0.000,0.000,24932.326,0.000,VIC,Iona Hub,530016,2026/05/28 08:30:03
2026/05/27,Jeerelang,533161,BBGPG,0.000,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/06/19 11:00:13
2026/05/27,Jordan,540088,PROD,0.000,263.700,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/10 11:35:46
2026/05/27,Katherine Power Station,580233,BBGPG,0.005,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/05/28 12:46:57
2026/05/27,Kenya,540075,PROD,0.000,127.643,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/10 11:35:46
2026/05/27,Kincora,544253,PROD,0.000,4.100,0.000,0.000,,,QLD,Regional - QLD,590001,2026/05/28 12:46:57
