GasDate,FacilityName,FacilityId,FacilityType,Demand,Supply,TransferIn,TransferOut,HeldInStorage,CushionGasStorage,State,LocationName,LocationId,LastUpdated
2026/06/24,Adelaide Brighton,555091,BBLARGE,8.449,0.000,0.000,0.000,,,SA,Adelaide,550016,2026/07/21 13:00:02
2026/06/24,AGP,580010,PIPE,20.681,0.000,0.000,6.543,,,NT,Darwin,580001,2026/06/25 12:46:13
2026/06/24,AGP,580010,PIPE,7.466,30.032,40.595,36.962,,,NT,Regional - NT,590017,2026/06/25 12:46:13
2026/06/24,APLNG Pipeline,540093,PIPE,1348.484,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/06/29 11:30:12
2026/06/24,APLNG Pipeline,540093,PIPE,0.000,1300.962,336.416,299.827,,,QLD,Regional - QLD,590001,2026/06/29 11:30:12
2026/06/24,Arcadia,540101,PROD,0.000,94.312,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/25 10:58:16
2026/06/24,ATGP,640013,PIPE,0.000,42.383,0.000,42.383,,,QLD,Regional - QLD,590001,2026/06/25 12:01:10
2026/06/24,ATHENA,535014,PROD,0.000,17.844,0.000,0.000,,,VIC,Iona Hub,530016,2026/06/29 09:48:48
2026/06/24,Atlas,544261,PROD,0.000,42.383,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/25 12:01:15
2026/06/24,Atlas East Central Processing Facility,640008,PROD,0.000,33.140,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/25 07:51:40
2026/06/24,Atlas to Reedy Creek Pipeline,640007,PIPE,0.000,33.146,0.000,36.797,,,QLD,Regional - QLD,590001,2026/06/25 12:46:13
2026/06/24,Australia Pacific LNG,544273,LNGEXPORT,1348.484,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/06/25 12:00:25
2026/06/24,Australian Paper (Opal),535021,BBLARGE,9.387,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/07/20 11:00:12
2026/06/24,B1PL,540077,PIPE,7.903,41.935,0.000,40.030,,,QLD,Regional - QLD,590001,2026/06/25 11:00:54
2026/06/24,B2PL,540071,PIPE,8.766,53.337,3.001,46.731,,,QLD,Regional - QLD,590001,2026/06/25 10:21:12
2026/06/24,Bairnsdale Power Station,535020,BBGPG,7.625,0.000,0.000,0.000,,,VIC,Regional - VIC,590012,2026/06/25 11:01:00
2026/06/24,BCF,540047,COMPRESSOR,0.000,0.000,92.700,92.700,,,QLD,Regional - QLD,590001,2026/06/29 10:00:01
2026/06/24,Bell Bay CCGT,577016,BBGPG,0.000,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/06/26 12:01:00
2026/06/24,Bell Bay GGT,577014,BBGPG,0.207,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/06/26 12:01:00
2026/06/24,Bell Bay OCGT,577015,BBGPG,4.534,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/06/26 12:01:00
2026/06/24,Bellevue,540083,PROD,0.000,116.618,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/13 12:02:34
2026/06/24,BGP,580020,PIPE,0.271,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/06/25 12:46:13
2026/06/24,BlueScope,523204,BBLARGE,10.713,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/06/25 12:01:05
2026/06/24,Bolivar,555008,BBGPG,0.000,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/06/25 12:06:07
2026/06/24,Bomaderry Gas Pipeline,523202,PIPE,22.652,0.000,22.652,0.000,,,NSW,Regional - NSW,590011,2026/06/25 16:03:02
2026/06/24,BPP,530030,PIPE,0.000,0.290,2.181,0.294,,,VIC,Gippsland,590009,2026/07/20 11:00:12
2026/06/24,Braemar 2 Power Station,544085,BBGPG,8.766,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/25 10:21:12
2026/06/24,Braemar Power Station,544252,BBGPG,7.903,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/25 11:00:54
2026/06/24,BWP,540096,PIPE,0.000,0.000,0.000,144.431,,,QLD,Wallumbilla Hub,540032,2026/06/25 12:46:13
2026/06/24,BWP,540096,PIPE,0.000,144.999,0.000,0.000,,,QLD,Regional - QLD,590001,2026/06/25 12:46:13
2026/06/24,CGP,540059,PIPE,0.000,0.000,92.659,0.000,,,QLD,Ballera,540078,2026/06/25 12:46:13
2026/06/24,CGP,540059,PIPE,65.534,0.000,0.000,25.016,,,QLD,Regional - QLD,590001,2026/06/25 12:46:13
