GasDate,FacilityName,FacilityId,FacilityType,Demand,Supply,TransferIn,TransferOut,HeldInStorage,CushionGasStorage,State,LocationName,LocationId,LastUpdated
2026/07/15,Adelaide Brighton,555091,BBLARGE,0.030,0.000,0.000,0.000,,,SA,Adelaide,550016,2026/08/10 13:00:00
2026/07/15,AGP,580010,PIPE,20.721,0.000,0.000,6.150,,,NT,Darwin,580001,2026/07/16 12:47:33
2026/07/15,AGP,580010,PIPE,9.322,32.437,42.186,33.126,,,NT,Regional - NT,590017,2026/07/16 12:47:33
2026/07/15,APLNG Pipeline,540093,PIPE,1691.306,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/07/20 11:33:21
2026/07/15,APLNG Pipeline,540093,PIPE,0.000,1356.925,504.082,165.289,,,QLD,Regional - QLD,590001,2026/07/20 11:33:21
2026/07/15,Arcadia,540101,PROD,0.000,89.748,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/16 10:58:06
2026/07/15,ATGP,640013,PIPE,0.000,43.482,0.000,43.482,,,QLD,Regional - QLD,590001,2026/07/16 12:01:12
2026/07/15,ATHENA,535014,PROD,0.000,17.471,0.000,0.000,,,VIC,Iona Hub,530016,2026/07/20 10:45:25
2026/07/15,Atlas,544261,PROD,0.000,43.482,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/16 12:01:17
2026/07/15,Atlas East Central Processing Facility,640008,PROD,0.000,31.220,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/16 09:54:11
2026/07/15,Atlas to Reedy Creek Pipeline,640007,PIPE,0.000,31.222,0.000,31.400,,,QLD,Regional - QLD,590001,2026/07/16 12:47:33
2026/07/15,Australia Pacific LNG,544273,LNGEXPORT,1691.306,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/07/16 12:00:25
2026/07/15,Australian Paper (Opal),535021,BBLARGE,16.543,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/07/20 11:00:12
2026/07/15,B1PL,540077,PIPE,0.035,41.605,0.000,41.548,,,QLD,Regional - QLD,590001,2026/07/16 11:01:10
2026/07/15,B2PL,540071,PIPE,0.000,52.664,7.846,59.672,,,QLD,Regional - QLD,590001,2026/07/16 12:30:07
2026/07/15,Bairnsdale Power Station,535020,BBGPG,3.000,0.000,0.000,0.000,,,VIC,Regional - VIC,590012,2026/07/16 11:01:11
2026/07/15,BCF,540047,COMPRESSOR,0.000,0.000,81.800,81.800,,,QLD,Regional - QLD,590001,2026/07/20 13:07:18
2026/07/15,Bell Bay CCGT,577016,BBGPG,28.261,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/07/17 12:01:00
2026/07/15,Bell Bay GGT,577014,BBGPG,0.000,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/07/17 12:01:00
2026/07/15,Bell Bay OCGT,577015,BBGPG,2.136,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/07/17 12:01:00
2026/07/15,Bellevue,540083,PROD,0.000,132.418,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/10 11:36:14
2026/07/15,BGP,580020,PIPE,0.293,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/07/16 12:47:33
2026/07/15,BlueScope,523204,BBLARGE,11.669,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/07/16 12:01:05
2026/07/15,Bolivar,555008,BBGPG,0.007,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/07/16 12:04:03
