GasDate,FacilityName,FacilityId,FacilityType,Demand,Supply,TransferIn,TransferOut,HeldInStorage,CushionGasStorage,State,LocationName,LocationId,LastUpdated
2026/07/29,Adelaide Brighton,555091,BBLARGE,12.259,0.000,0.000,0.000,,,SA,Adelaide,550016,2026/08/21 13:00:08
2026/07/29,AGP,580010,PIPE,19.057,0.000,3.416,0.000,,,NT,Darwin,580001,2026/07/30 12:46:54
2026/07/29,AGP,580010,PIPE,8.843,32.167,32.589,39.327,,,NT,Regional - NT,590017,2026/07/30 12:46:54
2026/07/29,APLNG Pipeline,540093,PIPE,1648.944,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/08/03 11:30:48
2026/07/29,APLNG Pipeline,540093,PIPE,0.000,1356.136,489.894,189.783,,,QLD,Regional - QLD,590001,2026/08/03 11:30:48
2026/07/29,Arcadia,540101,PROD,0.000,89.615,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/30 10:58:22
2026/07/29,ATGP,640013,PIPE,0.000,43.788,0.000,43.788,,,QLD,Regional - QLD,590001,2026/07/30 12:01:14
2026/07/29,ATHENA,535014,PROD,0.000,17.492,0.000,0.000,,,VIC,Iona Hub,530016,2026/08/03 11:53:55
2026/07/29,Atlas,544261,PROD,0.000,43.788,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/30 12:01:20
2026/07/29,Atlas East Central Processing Facility,640008,PROD,0.000,30.250,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/30 13:01:54
2026/07/29,Atlas to Reedy Creek Pipeline,640007,PIPE,0.000,30.739,0.000,33.998,,,QLD,Regional - QLD,590001,2026/07/30 12:46:54
2026/07/29,Australia Pacific LNG,544273,LNGEXPORT,1648.943,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/07/30 12:00:25
2026/07/29,Australian Paper (Opal),535021,BBLARGE,10.062,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/08/20 11:00:12
2026/07/29,B1PL,540077,PIPE,0.033,41.055,0.000,44.743,,,QLD,Regional - QLD,590001,2026/07/30 11:00:56
2026/07/29,B2PL,540071,PIPE,0.000,54.779,0.506,56.704,,,QLD,Regional - QLD,590001,2026/07/30 10:18:15
2026/07/29,Bairnsdale Power Station,535020,BBGPG,0.000,0.000,0.000,0.000,,,VIC,Regional - VIC,590012,2026/07/30 11:01:00
2026/07/29,BCF,540047,COMPRESSOR,0.000,0.000,90.300,90.300,,,QLD,Regional - QLD,590001,2026/08/03 20:58:26
2026/07/29,Bell Bay CCGT,577016,BBGPG,27.388,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/07/31 12:01:00
2026/07/29,Bell Bay GGT,577014,BBGPG,0.000,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/07/31 12:01:00
2026/07/29,Bell Bay OCGT,577015,BBGPG,0.000,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/07/31 12:01:00
2026/07/29,Bellevue,540083,PROD,0.000,136.153,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/10 11:36:14
2026/07/29,BGP,580020,PIPE,0.280,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/07/30 12:46:54
2026/07/29,BlueScope,523204,BBLARGE,11.861,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/07/30 12:01:05
2026/07/29,Bolivar,555008,BBGPG,6.214,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/07/30 12:06:24
2026/07/29,Bomaderry Gas Pipeline,523202,PIPE,0.000,0.000,22.617,0.000,,,NSW,Regional - NSW,590011,2026/07/30 12:01:05
2026/07/29,BPP,530030,PIPE,2.850,10.000,0.000,7.150,,,VIC,Gippsland,590009,2026/08/20 11:00:12
2026/07/29,Braemar 2 Power Station,544085,BBGPG,0.000,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/30 10:18:15
2026/07/29,Braemar Power Station,544252,BBGPG,0.033,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/30 11:00:56
2026/07/29,BWP,540096,PIPE,0.000,0.000,0.000,109.556,,,QLD,Wallumbilla Hub,540032,2026/07/30 12:46:54
2026/07/29,BWP,540096,PIPE,0.000,110.802,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/30 12:46:54
2026/07/29,CGP,540059,PIPE,0.000,0.000,90.263,0.000,,,QLD,Ballera,540078,2026/07/30 12:46:54
2026/07/29,CGP,540059,PIPE,73.401,0.000,0.000,14.027,,,QLD,Regional - QLD,590001,2026/07/30 12:46:54
2026/07/29,Channel Island Power Station,580231,BBGPG,19.057,0.000,0.000,0.000,,,NT,Darwin,580001,2026/07/30 12:46:54
2026/07/29,Colongra,523120,BBGPG,0.000,0.000,0.000,0.000,,,NSW,Regional - NSW,590011,2026/07/30 12:00:05
2026/07/29,ColongraGP,520090,PIPE,0.000,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/07/30 12:00:05
2026/07/29,ColongraGP,520090,PIPE,0.000,0.000,0.000,0.000,,,NSW,Regional - NSW,590011,2026/07/30 12:00:05
2026/07/29,Combabula,540094,PROD,0.000,292.693,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/03 11:30:48
2026/07/29,Condabri Central,540080,PROD,0.000,140.250,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/03 11:30:48
2026/07/29,Condabri North,540090,PROD,0.000,159.971,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/03 11:30:48
2026/07/29,Condabri South,540086,PROD,0.000,156.264,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/03 11:30:48
2026/07/29,Condamine Power Station,544274,BBGPG,0.000,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/10 11:35:25
2026/07/29,CRWP,540098,PIPE,0.000,0.000,172.189,0.000,,,QLD,Wallumbilla Hub,540032,2026/07/30 10:58:07
2026/07/29,CRWP,540098,PIPE,0.000,228.332,41.654,463.567,,,QLD,Regional - QLD,590001,2026/07/30 10:58:07
2026/07/29,CWP,520054,PIPE,5.032,0.000,3.894,0.000,,,NSW,Regional - NSW,590011,2026/07/30 12:46:54
2026/07/29,Daandine,540050,PROD,0.000,54.779,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/30 10:18:24
2026/07/29,Dandenong LNG,530038,STOR,0.000,0.277,0.000,0.000,615.300,27.889,VIC,Melbourne,590008,2026/07/30 12:46:54
2026/07/29,DDP,540097,PIPE,0.000,0.000,0.000,187.905,,,QLD,Wallumbilla Hub,540032,2026/08/05 13:01:10
2026/07/29,DDP,540097,PIPE,28.134,540.183,135.213,463.182,,,QLD,Regional - QLD,590001,2026/08/05 13:01:10
2026/07/29,DDPS,544027,BBGPG,28.134,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/05 13:01:10
2026/07/29,Diamantina Power Station,544077,BBGPG,36.146,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/07/30 12:46:54
2026/07/29,Dry Creek Power Station,555026,BBGPG,0.000,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/07/30 11:31:05
2026/07/29,EGP,520047,PIPE,129.710,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/07/30 12:01:05
2026/07/29,EGP,520047,PIPE,16.816,0.000,0.000,0.000,,,NSW,Canberra,520009,2026/07/30 12:01:05
2026/07/29,EGP,520047,PIPE,0.000,234.678,0.000,138.176,,,VIC,Longford Hub,530015,2026/07/30 12:01:05
2026/07/29,EGP,520047,PIPE,5.157,0.000,0.000,22.617,,,NSW,Regional - NSW,590011,2026/07/30 12:01:05
2026/07/29,EGP,520047,PIPE,1.282,74.178,0.000,0.000,,,VIC,Regional - VIC,590012,2026/07/30 12:01:05
